utilization.gpu [%], utilization.memory [%], temperature.gpu, clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.video [MHz], power.draw [W]
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.56
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.38
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.56
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 25, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.37
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.47
0, 0, 26, 324, 324, 324, 405, 30.47
